个股	涨停原因
广电传媒	卫供授控产品 + 5G + 通信网设备 + 潮玩平台 + 湖南国资
飞产玻璃	卫星核心产品 + 智通 AI（参股）-
志特新材	AI 铝材（AI 材料）+ 铝模 + 装配式建筑 + 商业目标
直真科技	AI + 商业航天 + 华为昇腾 + 异构算力 + 智能体
传化智联	AI 物流 + 双碳 Agnet + 轻资产交易 + 云经济 + AI 图文写作
梅花生物	AI 体育 + 权现经济 + 投资 AI 大模型 + 分子诊断
中国电信	AI 媒体 + 商显 + AI 媒体 + 云运会 + 数据服务中心
富森美	AI 实体 + 前沿 AI 载体 + 全云 + 数智
七匹狼	参投深科技 + 男装（潮牌）+ 参投保险 + 控股股东持有光模块 + 光源系统
恒为科技	AI 硬件 + 机器人 + AI + 异算力 + 智心 + 机器人
科远智慧	拟购 AI 大模型应用 + 华为 + 资产注入 + 机器像人
众诚科技	AI 实体 + 代码 + 华为合数 + 数据安全 + 数据要素
昆仑万维	AI 应用 + 大模型 + AI 算力芯片 + 音乐
引力传媒	合作火山引擎 + 字节 + 智源 + MCN + 半导体
利欧股份	AI 营销 + 合作字节 + 合作百度 + 风禾 + 半导体
天下秀	AI 营销 + TiKTok + 小红书（MCN）+ 网红经济 + 人工智能
易点天下	AI 营销 + AI 大力（电商）+ 出海 + 营销 AI
创文互联	AI 整合 + 合作微软 + 电信 AI + 合作（腾讯字节）
省广集团	AI 营销 + 省代 + TiKTok 核心代理商
天龙集团	AI + 抖音 + 华为 + T
华胜天成	网传合作火山引擎 + 华为昇腾计算 + 智算中心 + AI 实体
美年健康	AI 健康 + AI 健管 + DeepSeek + 健康管理 AI 机器人 + 基因测序
国新健康	AI 医疗 + 数智医保（AI）+ 华为 + DRG/DIP
迦南科技	合作阿里健康 + 医疗 + 华为 + 为盟医疗 + 医疗器械
久远银海	蚂蚁医疗大模型 + AI 医疗 + 医保数智 + 华为昇腾
金域医学	AI 医疗 + DeepSeek + 基因测序 + 第三方 AI
达安基因	医学 AI + 合作医疗 + 大模型 + 健康管理机器人
泓博医药	AI 辅助制药平台 + CXO + 医药中间体 + 合成生物
红联科技	液冷通道 + 航天航空 + 汽车热管理 + 铝型材冲压模具
张北股份	数据中心 + 农产品 + 锦纶丝 + 锂电功能
振华股份	SOFC + 合作 BWE + 钴盐龙头 + 人工智能 + 特通信
威星智能	管合保华威尔 + AI + 算力 + 燃气 + 参股电回收企业
美凯龙	数据中心 + 液冷 + HVAC 控制器 + 固态电池 + PET 复合铜箔
太极股份	数据中心 + 液冷预制 + 整机投资人 + 国产化
派斯林	机器人 + 六足仿生机器人 + 特斯拉（北美业务主）+ 汽车制造
凯迪股份	机器人零部件 + 智能医疗 + 光伏支架
华心健康	智能康复机器人 + 辅具 + 老年医院
悦心健康	转型医美 + 多元金融 + 智 + 参投 DeepSeek（公司否认）
新朋股份	可控机器人 + 特斯拉 + 汽车部件
弘讯科技	核电 + 电机 + 机器人 + 芯片
中国一重	可控核聚变 + 核电 + 燃气轮机 + 核电 + 机械制造 + 镍
宝胜股份	可接核电（变压器）+ 第三代半导 + 稀土永磁
翰元医药	小核酸药物 + 减毒 + 仿制药 + 医疗器械
联邦药业	创新药 + 特药 + SPAC + 乙肝 + 艾 + 支原体肺炎
维康药业	中药创新药 + 药品通过 GMP 检查 + 医
前沿生物	小核酸药物 + 国产抗艾新药 + 多肽
东方明珠	间接参股超聚变 + 参工 + 参股超聚变 + 星 + 合作 minimax
中科国控	拟参国电中国电公司 + 电力 + 半导体 + 数智中心 + 海峡两岸
国机科技	省收埃因国产 GPU（算力）+ 平板 + 投资（光伏和海南）+ 国资
江特设备	钨矿 + 完成大资产重组 + 控股股东江特控股 + 江西国资
厦门钨业	钨矿 + 可控核聚变 + 稀土永磁 + 新能源正极 + 福建
金钼股份	合作开发钼 + 石墨 + 锂电池 + 电池
隆盛股份	优先泌购入 + 前驱机器人 + 园林机械 + 半导体设备零部件
永顺泰	资产出售 + 光伏 + 河南酒销售 + 园林 + 木门
和胜股份	实控人变更 + 超薄铜（宁德）+ 医疗体外循环泵（被处置）
格利尔	实控人变更 + 磁性器件 + 光伏逆变器 + 新能源车 + 北交所
快意电梯	城市更新 + 电梯 + 智控一体机 + 一带一路
洲际油气	石油 + 海南 + 海洋 + 油气 + 拟控股电子
海天瑞声	三石重组 + 商汤 + 祥天 + 拟收购电子公司增资 + 电子电气
交运股份	参上普（成）+ 上海鸿道 + 参投 + 持股
